Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 5.00e-04 (adaptive: 50 iterations),
          sigma = 1.00e-04, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
26000  -1.9565e-01   1.16e-04   1.04e-07  -5.71e-04   1.16e-04   1.99e-04    1.36e+02s
26200  -1.9566e-01   6.62e-05   1.04e-07  -5.69e-04   6.62e-05   1.99e-04    1.37e+02s
26300  -1.9566e-01   2.58e-04   1.04e-07  -5.66e-04   2.58e-04   1.09e-03*   1.37e+02s
26400  -1.9566e-01   6.58e-09   1.04e-07  -5.66e-04   1.04e-07   3.02e-05*   1.38e+02s
26450  -1.9566e-01   2.59e-04   9.83e-08  -5.64e-04   2.59e-04   1.70e-04*   1.38e+02s
26600  -1.9567e-01   5.12e-05   9.82e-08  -5.62e-04   5.12e-05   1.70e-04    1.39e+02s
26800  -1.9567e-01   2.25e-05   9.69e-08  -5.60e-04   2.25e-05   1.70e-04    1.40e+02s
27000  -1.9568e-01   2.06e-04   9.68e-08  -5.56e-04   2.06e-04   8.63e-04*   1.41e+02s
27100  -1.9568e-01   2.63e-07   9.68e-08  -5.55e-04   2.63e-07   1.56e-04*   1.41e+02s
27200  -1.9568e-01   1.99e-04   9.58e-08  -5.51e-04   1.99e-04   7.84e-04*   1.42e+02s
27250  -1.9568e-01   6.22e-08   9.58e-08  -5.51e-04   9.58e-08   6.94e-05*   1.42e+02s
27400  -1.9569e-01   1.53e-04   9.46e-08  -5.47e-04   1.53e-04   6.94e-05    1.43e+02s
27450  -1.9569e-01   5.95e-04   9.46e-08  -5.46e-04   5.95e-04   6.05e-04*   1.43e+02s
27600  -1.9569e-01   3.92e-07   9.46e-08  -5.47e-04   3.92e-07   6.05e-04    1.44e+02s
27650  -1.9569e-01   7.00e-08   9.46e-08  -5.47e-04   9.46e-08   5.72e-05*   1.45e+02s
27700  -1.9569e-01   3.58e-04   9.30e-08  -5.44e-04   3.58e-04   3.90e-04*   1.45e+02s
27800  -1.9569e-01   9.84e-06   9.30e-08  -5.43e-04   9.84e-06   3.90e-04    1.45e+02s
28000  -1.9570e-01   2.25e-06   9.10e-08  -5.42e-04   2.25e-06   3.90e-04    1.46e+02s
28200  -1.9570e-01   4.69e-07   9.10e-08  -5.40e-04   4.69e-07   3.90e-04    1.47e+02s
28300  -1.9570e-01   1.20e-07   9.10e-08  -5.39e-04   1.20e-07   4.93e-05*   1.48e+02s
28400  -1.9571e-01   1.65e-04   8.87e-08  -5.36e-04   1.65e-04   4.93e-05    1.49e+02s
28500  -1.9571e-01   2.04e-04   8.87e-08  -5.34e-04   2.04e-04   2.60e-04*   1.49e+02s
28600  -1.9571e-01   1.62e-06   8.87e-08  -5.33e-04   1.62e-06   2.60e-04    1.50e+02s
28800  -1.9571e-01   4.32e-06   8.87e-08  -5.30e-04   4.32e-06   2.60e-04    1.51e+02s
29000  -1.9572e-01   1.02e-05   8.72e-08  -5.27e-04   1.02e-05   2.60e-04    1.52e+02s
29050  -1.9572e-01   2.05e-07   8.72e-08  -5.26e-04   2.05e-07   4.37e-05*   1.52e+02s
29150  -1.9572e-01   9.49e-04   8.72e-08  -5.21e-04   9.49e-04   5.02e-04*   1.52e+02s
29200  -1.9572e-01   7.18e-07   8.72e-08  -5.20e-04   7.18e-07   5.02e-04    1.53e+02s
29300  -1.9572e-01   2.21e-04   8.72e-08  -5.18e-04   2.21e-04   2.78e-03*   1.53e+02s
