Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 1.00e-01 (adaptive: 50 iterations),
          sigma = 1.00e-06, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
24000  -1.9469e-01   9.51e-06   3.62e-07  -1.50e-03   9.51e-06   8.51e-04    1.23e+02s
24200  -1.9471e-01   9.37e-05   3.61e-07  -1.47e-03   9.37e-05   8.51e-04    1.24e+02s
24400  -1.9472e-01   3.74e-04   3.61e-07  -1.47e-03   3.74e-04   8.51e-04    1.25e+02s
24500  -1.9473e-01   1.11e-06   3.61e-07  -1.46e-03   1.11e-06   1.64e-04*   1.26e+02s
24600  -1.9477e-01   2.37e-03   3.53e-07  -1.42e-03   2.37e-03   1.48e-03*   1.26e+02s
24650  -1.9477e-01   2.03e-07   3.53e-07  -1.42e-03   3.53e-07   1.24e-04*   1.26e+02s
24700  -1.9480e-01   2.29e-03   3.52e-07  -1.40e-03   2.29e-03   1.10e-03*   1.27e+02s
24800  -1.9480e-01   7.15e-05   3.52e-07  -1.40e-03   7.15e-05   1.10e-03    1.27e+02s
25000  -1.9481e-01   2.78e-05   3.51e-07  -1.39e-03   2.78e-05   1.10e-03    1.28e+02s
25200  -1.9482e-01   2.30e-05   3.41e-07  -1.38e-03   2.30e-05   1.10e-03    1.29e+02s
25400  -1.9483e-01   6.27e-05   3.41e-07  -1.37e-03   6.27e-05   1.10e-03    1.30e+02s
25600  -1.9484e-01   6.38e-06   3.41e-07  -1.36e-03   6.38e-06   1.10e-03    1.31e+02s
25800  -1.9485e-01   1.98e-05   3.41e-07  -1.35e-03   1.98e-05   1.10e-03    1.32e+02s
25850  -1.9486e-01   4.93e-07   3.41e-07  -1.35e-03   4.93e-07   1.45e-04*   1.33e+02s
25950  -1.9489e-01   1.04e-03   3.42e-07  -1.31e-03   1.04e-03   8.80e-04*   1.33e+02s
26000  -1.9490e-01   5.09e-06   3.42e-07  -1.31e-03   5.09e-06   8.80e-04    1.33e+02s
26200  -1.9491e-01   2.33e-04   3.42e-07  -1.30e-03   2.33e-04   8.80e-04    1.34e+02s
26400  -1.9492e-01   2.84e-06   3.41e-07  -1.29e-03   2.84e-06   8.80e-04    1.35e+02s
26600  -1.9493e-01   9.57e-06   3.41e-07  -1.28e-03   9.57e-06   8.80e-04    1.36e+02s
26800  -1.9494e-01   5.29e-06   2.94e-07  -1.26e-03   5.29e-06   8.80e-04    1.37e+02s
27000  -1.9495e-01   7.45e-06   2.87e-07  -1.24e-03   7.45e-06   8.80e-04    1.38e+02s
27200  -1.9496e-01   1.83e-05   2.81e-07  -1.23e-03   1.83e-05   8.80e-04    1.39e+02s
27400  -1.9497e-01   1.73e-06   2.78e-07  -1.23e-03   1.73e-06   8.80e-04    1.41e+02s
27600  -1.9498e-01   1.91e-05   2.74e-07  -1.22e-03   1.91e-05   8.80e-04    1.42e+02s
27700  -1.9499e-01   5.51e-07   2.73e-07  -1.22e-03   5.51e-07   1.38e-04*   1.42e+02s
27750  -1.9500e-01   8.28e-04   2.70e-07  -1.21e-03   8.28e-04   8.37e-04*   1.42e+02s
27800  -1.9500e-01   1.76e-05   2.70e-07  -1.21e-03   1.76e-05   8.37e-04    1.43e+02s
28000  -1.9501e-01   8.72e-06   2.70e-07  -1.20e-03   8.72e-06   8.37e-04    1.44e+02s
28200  -1.9502e-01   7.70e-06   2.70e-07  -1.19e-03   7.70e-06   8.37e-04    1.45e+02s
28400  -1.9503e-01   2.77e-05   2.64e-07  -1.18e-03   2.77e-05   8.37e-04    1.46e+02s
28600  -1.9504e-01   3.52e-07   2.63e-07  -1.17e-03   3.52e-07   1.06e-04*   1.47e+02s
28650  -1.9506e-01   1.67e-03   2.62e-07  -1.15e-03   1.67e-03   9.32e-04*   1.47e+02s
28800  -1.9507e-01   2.75e-05   2.58e-07  -1.14e-03   2.75e-05   9.32e-04    1.48e+02s
29000  -1.9507e-01   2.79e-05   2.55e-07  -1.13e-03   2.79e-05   9.32e-04    1.49e+02s
29200  -1.9508e-01   4.91e-06   2.55e-07  -1.13e-03   4.91e-06   9.32e-04    1.50e+02s
29400  -1.9509e-01   5.65e-05   2.48e-07  -1.11e-03   5.65e-05   9.32e-04    1.51e+02s
29450  -1.9509e-01   5.74e-08   2.48e-07  -1.11e-03   2.48e-07   4.94e-05*   1.51e+02s
29500  -1.9512e-01   5.63e-03   2.39e-07  -1.06e-03   5.63e-03   8.32e-04*   1.52e+02s
29600  -1.9513e-01   1.11e-05   2.39e-07  -1.06e-03   1.11e-05   8.32e-04    1.52e+02s
29750  -1.9513e-01   6.73e-07   2.38e-07  -1.05e-03   6.73e-07   1.54e-04*   1.53e+02s
29800  -1.9514e-01   4.34e-04   2.34e-07  -1.04e-03   4.34e-04   1.54e-04    1.53e+02s
29850  -1.9515e-01   6.35e-04   2.33e-07  -1.04e-03   6.35e-04   8.83e-04*   1.53e+02s
30000  -1.9516e-01   4.38e-06   2.33e-07  -1.04e-03   4.38e-06   8.83e-04    1.54e+02s
30200  -1.9517e-01   2.29e-06   2.32e-07  -1.03e-03   2.29e-06   8.83e-04    1.55e+02s
30250  -1.9517e-01   9.78e-08   2.32e-07  -1.03e-03   2.32e-07   6.30e-05*   1.56e+02s
30300  -1.9519e-01   2.08e-03   2.30e-07  -1.00e-03   2.08e-03   6.58e-04*   1.56e+02s
30400  -1.9519e-01   4.17e-04   2.30e-07  -1.00e-03   4.17e-04   6.58e-04    1.57e+02s
30600  -1.9520e-01   4.49e-06   2.29e-07  -9.89e-04   4.49e-06   6.58e-04    1.58e+02s
30800  -1.9521e-01   8.44e-06   2.28e-07  -9.88e-04   8.44e-06   6.58e-04    1.59e+02s
31000  -1.9522e-01   3.32e-04   2.28e-07  -9.83e-04   3.32e-04   6.58e-04    1.60e+02s
31200  -1.9523e-01   1.39e-04   2.27e-07  -9.76e-04   1.39e-04   6.58e-04    1.61e+02s
31400  -1.9524e-01   4.89e-06   2.26e-07  -9.63e-04   4.89e-06   6.58e-04    1.62e+02s
31450  -1.9524e-01   1.98e-07   2.26e-07  -9.64e-04   2.26e-07   6.77e-05*   1.62e+02s
31500  -1.9526e-01   2.49e-03   2.19e-07  -9.47e-04   2.49e-03   7.92e-04*   1.62e+02s
31600  -1.9526e-01   9.26e-07   2.19e-07  -9.45e-04   9.26e-07   7.92e-04    1.63e+02s
31800  -1.9526e-01   5.54e-07   2.19e-07  -9.40e-04   5.54e-07   1.38e-04*   1.64e+02s
32000  -1.9530e-01   1.79e-04   2.20e-07  -9.11e-04   1.79e-04   1.38e-04    1.65e+02s
32100  -1.9531e-01   2.04e-03   2.20e-07  -9.04e-04   2.04e-03   1.47e-03*   1.65e+02s
